cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
cord_uid_000000,,PubMed,Lockdown: A treatment Study,,PMC0000000,331148,custom,This study investigates hospitalization in relation to treatment. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using cross-sectional analysis of 889 patients.,2020-07-16,"Williams, B.; Jackson, R.; Wilson, M.; Johnson, A.; Smith, J.",Nature Medicine,,cov_000000,,,,,
cord_uid_000001,sha_00000001,PubMed,Coronavirus: A risk factors Study,10.1000/000001,PMC0000001,705397,cc-by,This study investigates pandemic in relation to risk factors. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using prospective analysis of 4995 patients.,2021-10-20,"Johnson, A.; Anderson, N.; Moore, Q.",Clinical Infectious Diseases,,,,pdf_000001.json,pmc_000001.json,https://example.com/paper/1,
cord_uid_000002,sha_00000002,CDC,Variant Transmission Outbreak: A prognosis Study,10.1000/000002,,158655,cc-by,This study investigates mortality in relation to prognosis. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using prospective analysis of 634 patients.,2022-06-16,"Garcia, E.; Moore, Q.; Davis, G.; Martin, S.; Anderson, N.",Virology,,,,,pmc_000002.json,https://example.com/paper/2,
cord_uid_000003,sha_00000003,PMC,Testing Vaccine: A diagnosis Study,10.1000/000003,PMC0000003,,cc-by,This study investigates vaccine in relation to diagnosis. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using cross-sectional analysis of 4648 patients.,2022-09-18,"Rodriguez, H.; Jackson, R.; Wilson, M.; Gonzalez, L.; Lopez, K.",Journal of Medical Virology,mag_00000003,,,,,,
cord_uid_000004,sha_00000004,WHO,Pandemic Elderly Lockdown: A neurological Study,,PMC0000004,632323,cc-by,This study investigates asymptomatic in relation to neurological. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using prospective analysis of 3611 patients.,2019-12-24,"Anderson, N.; Smith, J.",The Lancet,,,arXiv:2016.1009,,,,
cord_uid_000005,sha_00000005,PMC,Sars-Cov-2: A treatment Study,10.1000/000005,PMC0000005,322086,cc-by,This study investigates comorbidity in relation to treatment. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using retrospective analysis of 4031 patients.,2021-08-21,"Moore, Q.",Clinical Infectious Diseases,,cov_000005,,,,,
cord_uid_000006,sha_00000006,PMC,Comorbidity: A recovery Study,10.1000/000006,,665427,cc-by,,2021-10-23,,Clinical Infectious Diseases,mag_00000006,,,pdf_000006.json,pmc_000006.json,,
cord_uid_000007,,WHO,Antibody Outbreak: A complications Study,10.1000/000007,,,custom,This study investigates SARS-CoV-2 in relation to complications. Our findings suggest significant implications for diagnosis of COVID-19. The research was conducted using cross-sectional analysis of 856 patients.,2022-05-01,"Gonzalez, L.",NEJM,mag_00000007,,arXiv:2017.2604,,pmc_000007.json,https://example.com/paper/7,s2_00000007
cord_uid_000008,sha_00000008,CDC,Antibody: A complications Study,10.1000/000008,PMC0000008,682765,custom,This study investigates ventilator in relation to complications. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using prospective analysis of 530 patients.,2021-03-29,"Gonzalez, L.; Smith, J.",The Lancet,,,,pdf_000008.json,,,
cord_uid_000009,,CDC,Icu Transmission Sars-Cov-2: A recovery Study,10.1000/000009,PMC0000009,712024,cc-by-nc,This study investigates coronavirus in relation to recovery. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using retrospective analysis of 4924 patients.,2022-08-03,"Davis, G.",Emerging Infectious Diseases,,,,,,https://example.com/paper/9,
cord_uid_000010,sha_0000000a,PMC,Testing: A long-term effects Study,10.1000/000010,,837715,cc-by-nc,This study investigates comorbidity in relation to long-term effects. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using retrospective analysis of 4454 patients.,2020-04-27,"Taylor, P.; Rodriguez, H.",Nature Medicine,mag_00000010,cov_000010,,pdf_000010.json,,https://example.com/paper/10,
cord_uid_000011,,WHO,Pandemic Outbreak: A cardiovascular Study,10.1000/000011,,,cc-by,This study investigates elderly in relation to cardiovascular. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using prospective analysis of 2358 patients.,2020-09-01,"Miller, F.; Hernandez, J.; Martin, S.; Rodriguez, H.; Thomas, O.",Lancet Infectious Diseases,mag_00000011,,,pdf_000011.json,,,s2_00000011
cord_uid_000012,sha_0000000c,PMC,Sars-Cov-2 Variant Elderly: A pathogenesis Study,10.1000/000012,PMC0000012,348237,cc-by,This study investigates antibody in relation to pathogenesis. Our findings suggest significant implications for treatment of COVID-19. The research was conducted using retrospective analysis of 2575 patients.,2020-10-01,"Johnson, A.; Lopez, K.; Miller, F.",Journal of Medical Virology,mag_00000012,cov_000012,,pdf_000012.json,,https://example.com/paper/12,s2_00000012
cord_uid_000013,,PubMed,Transmission Pandemic: A risk factors Study,,PMC0000013,634150,custom,This study investigates SARS-CoV-2 in relation to risk factors. Our findings suggest significant implications for prevention of COVID-19. The research was conducted using retrospective analysis of 1684 patients.,2021-04-22,"Lopez, K.; Martinez, I.; Davis, G.; Moore, Q.",Lancet Infectious Diseases,mag_00000013,,arXiv:2003.5279,,pmc_000013.json,,
